p,sigma,d,Prediction_RMSE,Factorisation_RMSE,Time
8,10.0,5,0.853806954434,0.697368508121,1063.4839712979738
8,100.0,5,0.859497625099,0.706774677236,310.3415675419965
8,500.0,5,8,1000.0,5,16,10.0,5,0.84292609439,0.673649170242,577.4326476959977
16,100.0,5,0.849251555368,0.681242491783,370.58020918403054
16,500.0,5,16,1000.0,5,64,10.0,5,0.828535154723,0.638767289621,757.6201417020056
64,100.0,5,0.833796545803,0.645184722599,556.9521929380135
64,500.0,5,64,1000.0,5,128,10.0,5,0.8229403889,0.625800426885,881.2119050189503
128,100.0,5,0.828419665515,0.632063476254,679.359599117015
128,500.0,5,128,1000.0,5,8,10.0,10,0.862372196966,0.709282215112,572.8994416880305
8,100.0,10,0.856447874289,0.69625569989,162.0447393200011
8,500.0,10,0.858566776684,0.702759362097,147.41023865900934
8,1000.0,10,16,10.0,10,0.856906845123,0.688613125534,745.2464723409503
16,100.0,10,0.855993551271,0.686852049235,397.78904021001654
16,500.0,10,0.857041690689,0.690779176259,383.1853395639919
16,1000.0,10,64,10.0,10,0.837608445664,0.640392083548,962.8540374340373
64,100.0,10,0.843031770242,0.647925603086,602.2008746490465
64,500.0,10,0.844069830954,0.643095660377,774.3568815939943
64,1000.0,10,128,10.0,10,0.831618451119,0.624433367979,1104.4522141119814
128,100.0,10,0.838646544462,0.63309924516,743.3515142389806
128,500.0,10,0.840533452707,0.629632765881,987.956242278975
128,1000.0,10,8,10.0,15,0.858482575512,0.704941168251,577.866123728978
8,100.0,15,0.856664661893,0.698737956461,166.97125422401587
8,500.0,15,8,1000.0,15,16,10.0,15,0.856920184504,0.68726422166,742.5531838469906
16,100.0,15,0.857166598617,0.68788063545,388.42921705998015
16,500.0,15,16,1000.0,15,64,10.0,15,0.845650548784,0.645412193083,1082.5680602610228
64,100.0,15,0.846730435712,0.63865541618,837.1522967490018
64,500.0,15,64,1000.0,15,128,10.0,15,0.84063641377,0.628285072649,1236.0173682509921
128,100.0,15,0.84396007071,0.624763751465,1090.8946925919736
128,500.0,15,128,1000.0,15,8,10.0,20,0.857533678377,0.700204293263,595.6340457829647
8,100.0,20,0.859518480857,0.701704845293,165.92660229100147
8,500.0,20,0.856796015895,0.698850247301,155.61121357203228
8,1000.0,20,16,10.0,20,0.854621373819,0.684380654573,757.3747057169676
16,100.0,20,0.854944899225,0.678193434341,209.84791333798785
16,500.0,20,0.856731678269,0.688160366256,402.4036444250378
16,1000.0,20,64,10.0,20,0.851413231107,0.652536449186,1119.7679136379738
64,100.0,20,0.858716843097,0.660263089441,599.2867009790498
64,500.0,20,0.852457654234,0.641752993466,1000.6077999179834
64,1000.0,20,128,10.0,20,0.847817732984,0.634518119448,1343.378510102979
128,100.0,20,0.857227293365,0.646338872261,819.3909712890163
128,500.0,20,0.849795622024,0.627795503667,1276.0169718179968
128,1000.0,20,8,10.0,25,0.855052458378,0.696242168522,593.6811746480525
8,100.0,25,0.859188777088,0.701230232046,165.00753063498996
8,500.0,25,0.857094428685,0.700068585869,155.34497879596893
8,1000.0,25,16,10.0,25,0.854596423363,0.68552572528,767.261819293024
16,100.0,25,0.853428075386,0.674429833123,208.06053134403192
16,500.0,25,0.855443156633,0.682916958953,208.45448644598946
16,1000.0,25,64,10.0,25,0.853575103027,0.639292590847,1538.502915473946
64,100.0,25,0.859275188572,0.656337411093,599.177917501016
64,500.0,25,0.858266909496,0.650040988836,942.9280339839752
64,1000.0,25,128,10.0,25,0.850972792711,0.623145243998,1911.5515883669723
128,100.0,25,0.858611737236,0.643635764831,867.451132001006
128,500.0,25,0.857125434109,0.636859233712,1270.1121808419703
