p,sigma,d,Prediction_RMSE,Factorisation_RMSE,Time
64,200.0,25,0.860905438891,0.660659272242,6951.640184459044
64,100.0,25,0.861651041766,0.661360290265,6430.478001714917
64,10.0,25,0.853167468695,0.637616909148,19075.280737343943
16,200.0,25,0.853250640574,0.675007960212,2223.981644623913
16,100.0,25,0.853587536499,0.675889275054,2391.54921884113
16,10.0,25,0.856017610518,0.685815551941,6788.74280996481
8,200.0,25,0.857188377641,0.69832387001,1376.7827566289343
8,100.0,25,0.856228565316,0.697214845244,1458.8468286900315
8,10.0,25,0.856316246644,0.697565932091,5092.366516371956
4,200.0,25,0.868214383821,0.730336332199,968.070256307954
4,100.0,25,0.869888475437,0.732239433791,1058.987436685944
4,10.0,25,0.870192781084,0.735254490563,3730.508903539041
64,200.0,20,0.858618130481,0.657288444419,5621.06657014112
64,100.0,20,0.858601442472,0.6559663553,5621.1043662650045
64,10.0,20,0.852190726313,0.651927509428,9687.30444828095
16,200.0,20,0.852850224735,0.673942940561,1666.1937878450844
16,100.0,20,0.852325711814,0.673814414906,1739.9274647959974
16,10.0,20,0.854988396237,0.683654364163,6113.7799285221845
8,200.0,20,0.856794751267,0.697314013109,1267.2956884389278
8,100.0,20,0.857830474571,0.699439258111,1267.9079652649816
8,10.0,20,0.85605513896,0.698665074262,5615.620335459942
4,200.0,20,0.869140339494,0.731081862911,1065.474201445002
4,100.0,20,0.869261309318,0.733034634776,1110.872570703039
4,10.0,20,0.873332106129,0.739712181795,4248.225636371179
64,200.0,15,0.854813378563,0.659853022846,1781.6081831709016
64,100.0,15,0.846682756462,0.635842051831,3573.4357605879195
64,10.0,15,0.846681478499,0.64732357287,1881.3165713148192
16,200.0,15,0.858218427411,0.688663691542,470.8293142260518
16,100.0,15,0.859838440887,0.689726240235,456.23188010486774
16,10.0,15,0.856268374476,0.689487941849,717.1342060680036
8,200.0,15,0.855968273989,0.697784407734,185.8396180740092
8,100.0,15,0.856758225387,0.697878658477,206.22718285978772
8,10.0,15,0.860821773427,0.708720349278,527.3438286010642
4,200.0,15,0.869197343644,0.732687087911,121.4899314478971
4,100.0,15,0.870647198406,0.735529918483,131.9203981119208
4,10.0,15,0.868221456406,0.730191831834,345.9788558650762
64,200.0,10,0.846065616924,0.652116478283,1358.7527024648152
64,100.0,10,0.843919592369,0.648106258641,1268.2543968979735
64,10.0,10,0.840145444242,0.64320139588,1553.9759491351433
