p,sigma,d,Prediction_RMSE,Factorisation_RMSE,Time
8,1.0,5,3.03058373982,1.21325763423,25.070954802002234
8,10.0,5,3.03101129199,0.890644409662,22.042643098000553
8,100.0,5,2.80482671478,0.713564756567,25.10277345400391
8,1000.0,5,3.00271439528,0.885719117912,15.020461968000745
16,1.0,5,3.11924074738,0.910425776912,31.363677941997594
16,10.0,5,3.26330391126,0.415955000391,32.35741543599579
16,100.0,5,3.06234467371,0.408858119038,34.75345783900411
16,1000.0,5,3.32172663119,0.521504144081,28.5177364150004
64,1.0,5,3.23052478692,0.319046332073,56.07482731699565
64,10.0,5,3.45449296865,0.144460950329,66.02674714299792
64,100.0,5,3.23434903467,0.12883784777,67.90938896800071
64,1000.0,5,3.48813001288,0.261279469667,55.86063682799431
128,1.0,5,3.1961658444,0.161585435763,79.12443523500406
128,10.0,5,3.44614610317,0.0645439508096,86.03010217400151
128,100.0,5,3.25549846744,0.060266427886,82.8652682910033
128,1000.0,5,3.63050236235,0.122446460541,80.2966564620001
8,1.0,10,3.04478133903,0.999057992474,28.574303763998614
8,10.0,10,2.93975441083,1.37828704935,18.69754896499944
8,100.0,10,2.74869641306,0.715782906199,23.43824736499664
8,1000.0,10,2.73508551077,0.780838615769,6.0487140059995
16,1.0,10,3.06279479753,0.813578551135,29.203729203996772
16,10.0,10,3.06324567834,0.6751217914,28.889651796998805
16,100.0,10,2.84308650586,0.334559623703,33.32422837100603
16,1000.0,10,2.97448048557,0.372750062008,21.823564022997743
64,1.0,10,3.21487075979,0.0814738836143,73.01136862600106
64,10.0,10,3.25263909624,0.0694709748883,53.33967746399867
64,100.0,10,2.95728114542,0.0750259285888,49.34615738299908
64,1000.0,10,3.51258322931,0.0921130962694,41.79433649600105
128,1.0,10,3.21487075979,0.0814738836143,75.79297188300552
128,10.0,10,3.25263909624,0.0694709748883,52.510762783000246
128,100.0,10,2.95728114542,0.0750259285888,48.851333852995594
128,1000.0,10,3.51258322931,0.0921130962694,41.80847458199423
8,1.0,15,3.02623020158,1.00591089253,24.057440607997705
8,10.0,15,2.86803508089,1.24808605041,18.24795978199836
8,100.0,15,2.84008806833,0.678965987908,26.574152408000373
8,1000.0,15,2.94842285031,0.75156440023,5.846856759002549
16,1.0,15,3.14050046314,0.659874800575,33.95434754699818
16,10.0,15,3.01276298152,0.560430102942,29.702841384998464
16,100.0,15,2.89385271501,0.296025595372,37.36989554799948
16,1000.0,15,3.55440315373,0.386882223969,10.094356623994827
64,1.0,15,3.08274423107,0.0967276908029,52.84513462200266
64,10.0,15,3.11232607353,0.071408856099,52.16349801600154
64,100.0,15,2.88175036209,0.0846484280021,49.84484165700269
64,1000.0,15,3.78545854581,0.0759172464536,35.615728664000926
128,1.0,15,3.08274423107,0.0967276908029,52.87533707900002
128,10.0,15,3.11232607353,0.071408856099,52.7754070910014
128,100.0,15,2.88175036209,0.0846484280021,48.98662409100507
128,1000.0,15,3.78545854581,0.0759172464536,36.2463415050006
8,1.0,20,2.96308083541,1.10700046425,25.7566186979966
8,10.0,20,2.83816839122,0.938878653001,26.869767581003543
8,100.0,20,2.8944522849,0.649522892368,25.436337607003225
8,1000.0,20,3.17619480307,0.513179272122,7.728479543002322
16,1.0,20,3.00159709626,0.679366855037,32.14875680899422
16,10.0,20,2.86503451297,0.419629896196,35.741646771995875
16,100.0,20,3.08753516806,0.266275289834,36.367127124001854
16,1000.0,20,3.8727822999,0.302935043248,10.11621874300181
64,1.0,20,2.94407345896,0.0923916254546,56.10850216400286
64,10.0,20,2.86479326892,0.0693791550814,53.96021053599543
64,100.0,20,3.24513969932,0.0698407338555,73.4153428829959
64,1000.0,20,4.03985893885,0.0939170657392,50.79075459500018
128,1.0,20,2.94407345896,0.0923916254546,151.77920734699728
128,10.0,20,2.86479326892,0.0693791550814,146.42039418400236
128,100.0,20,3.24513969932,0.0698407338555,135.43181183699926
128,1000.0,20,4.03985893885,0.0939170657392,59.77349688400136
8,1.0,25,2.86643014754,1.00030447256,53.64758799300034
8,10.0,25,2.80394071085,0.998085472588,55.24936871200043
8,100.0,25,2.80857952693,0.617185810217,66.14819271700253
8,1000.0,25,3.37236188998,0.820828209197,19.91465112500009
16,1.0,25,2.94242180595,0.694080845283,71.19369481199828
16,10.0,25,2.83371823634,0.468727934058,79.8571456550053
16,100.0,25,2.81594879302,0.252390645489,95.24125577200175
16,1000.0,25,4.13372974873,0.43768983412,25.412862586999836
64,1.0,25,2.914002516,0.061788671222,132.69388813200203
64,10.0,25,2.8995125958,0.0773367771354,165.4160368909943
64,100.0,25,2.88463961098,0.090128007567,113.93497867300175
64,1000.0,25,4.6216290077,0.0846092510681,48.6324460179967
128,1.0,25,2.914002516,0.061788671222,135.31044970700168
128,10.0,25,2.8995125958,0.0773367771354,143.88494771099795
128,100.0,25,2.88463961098,0.090128007567,106.10056949700083
128,1000.0,25,4.6216290077,0.0846092510681,48.76030893000279
